cycle,offset,drift_filtered,drift_unfiltered
379,7,0.054105,19.530106
380,1,0.044571,-58.594322
381,7,0.155696,58.595467
382,4,-0.025347,-29.298019
383,3,0.022336,-9.765244
384,6,0.07002,29.297733
385,8,0.022138,19.325912
386,-1,0.021216,-88.833615
387,6,0.097346,68.362045
388,5,-0.043358,-4.88286
389,3,0.042474,-19.531059
390,3,0.071086,0.0
391,8,0.071083,48.824787
392,1,0.013858,-68.364716
393,5,0.042467,39.061356
394,7,0.052003,19.531059
395,4,0.032902,-29.297447
396,-1,0.004345,-48.829556
397,7,0.090008,77.952955
398,8,0.079715,8.991916
399,1,-0.039935,-74.976168
400,7,0.085146,58.594322
401,3,0.018076,-39.064026
402,4,0.056224,9.765339
403,8,0.057251,39.060974
404,2,0.009836,-58.596611
405,4,0.047982,19.531059
406,3,0.019371,-9.765911
407,5,0.019371,19.531059
408,3,0.057275,-19.531059
409,6,0.047555,29.280576
410,5,0.009404,-9.770587
411,6,0.066594,9.766197
412,1,0.085493,-48.829556
413,7,0.008755,58.590889
414,3,0.02769,-39.062881
415,5,0.02753,18.931327
416,5,0.056617,0.0
417,7,0.037206,19.532204
418,3,-0.00075,-38.866649
419,9,0.104456,58.887035
420,0,0.018624,-87.891483
421,0,-0.019632,0.0
422,14,0.277359,136.71875
423,0,-0.085062,-68.361712
424,4,0.105492,38.873447
425,-1,0.028969,-49.065306
426,10,0.181562,107.425022
427,6,-0.028222,-39.060593
428,3,0.238847,-29.296589
429,3,0.087472,0.0
430,-3,0.049481,-58.591461
431,16,0.221187,185.548687
432,3,0.049316,-126.948166
433,4,0.14467,9.75077
434,2,0.068349,-19.562198
435,1,0.124868,-9.765911
436,12,0.125264,107.415581
437,2,0.068513,-97.66388
438,3,0.116278,9.765339
439,7,0.106742,39.062119
440,1,0.097347,-58.449339
441,6,0.116539,48.950501
442,11,0.106958,48.780488
443,-1,0.10654,-117.303199
444,2,0.087336,29.296303
445,5,0.125156,28.962281
446,3,0.096349,-19.759722
447,7,0.048426,39.063644
448,6,0.201022,-9.76553
449,3,0.077148,-29.188842
450,-2,0.067366,-49.009518
451,13,0.162721,146.348602
452,4,0.06025,-85.316144
453,2,0.149366,-6.403401
454,3,0.028376,9.960457
455,10,0.265194,72.849129
456,-1,0.084053,-107.360017
457,4,0.064521,48.349821
458,2,0.159701,-19.737686
459,10,0.140142,77.623178
460,-1,0.196688,-107.954267
461,7,0.089662,76.129573
462,9,0.118816,20.089196
463,-3,0.118996,-117.011526
464,7,0.185906,97.812903
465,4,0.081,-29.295731
466,3,0.128644,-9.766293
467,3,0.100058,0.0
468,10,0.157291,68.320011
469,-2,0.139751,-116.196876
470,6,0.101841,78.484465
471,0,0.100782,-49.684915
472,12,0.173929,143.580172
473,-3,0.146743,-145.032632
474,13,0.262728,157.82984
475,8,0.18649,-48.771923
476,-1,0.084126,-85.288655
477,6,0.235722,67.538231
478,7,0.175819,7.171286
479,5,0.173009,-31.996928
480,3,0.145683,-18.155246
481,7,0.185362,40.630999
482,1,0.129913,-56.780006
483,5,0.112574,40.726562
484,4,0.188675,-10.218471
485,5,0.169601,9.764862
486,4,0.121916,-9.766197
487,3,0.11238,-9.76572
488,0,0.169591,-29.297161
489,8,0.217266,78.121185
490,7,0.16007,-9.766197
491,4,0.215144,-29.295158
492,4,0.097868,0.0
493,-1,0.107524,-48.824787
494,12,0.240886,126.797105
495,5,0.15553,-67.972384
496,4,0.145926,-9.834389
497,3,0.098243,-9.765148
498,8,0.174144,48.788104
499,1,0.010943,-68.416166
500,0,0.221249,-9.701579
501,8,0.193286,78.644174
502,6,0.117089,-19.359398
503,-4,0.135312,-98.537701
504,14,0.221136,175.770951
505,4,0.173576,-97.531478
506,5,0.154515,9.77823
507,2,0.030546,-29.296875
508,9,0.322057,68.24408
509,1,0.099963,-78.257977
510,5,0.395594,39.059448
511,2,-0.100289,-29.277719
512,6,0.109192,38.7657
513,3,0.223769,-29.193955
514,5,0.138149,19.754842
515,7,0.061878,19.54442
516,3,0.224099,-38.988255
517,3,0.052465,0.0
518,0,0.166924,-29.296017
519,12,0.195512,117.16576
520,1,0.109657,-107.447058
521,4,0.128274,28.829521
522,8,0.109704,39.574965
523,3,0.157278,-48.944751
524,6,0.157007,29.020556
525,3,0.109022,-29.605068
526,6,0.185317,29.297447
527,5,0.070889,-9.765625
528,3,0.215137,-18.321897
529,4,0.149055,10.45522
530,5,0.111004,9.766197
531,3,0.101487,-19.531059
532,6,0.082415,29.296303
533,-2,0.168252,-78.125
534,14,0.263616,156.245422
535,0,0.140131,-67.855429
536,6,0.169007,58.038867
537,-4,0.09089,-100.107115
538,7,0.347642,106.657358
539,8,0.261878,9.832938
540,5,0.223722,-29.306033
541,5,0.233259,0.0
542,13,0.263075,79.28878
543,-2,0.18527,-147.799269
544,3,0.194621,48.829556
545,7,0.232767,39.061356
546,4,0.204396,-29.05147
547,-4,0.136753,-78.795221
548,11,0.270029,146.488667
549,2,0.214759,-85.721633
550,15,0.290619,126.800815
551,-5,0.105986,-198.828898
552,6,0.164137,108.372249
553,7,0.326271,9.766197
554,5,0.164153,-19.529915
555,4,0.230912,-9.764385
556,8,0.268973,38.974579
557,1,0.240151,-68.448278
558,-1,0.106233,-19.554356
559,10,0.334437,106.732906
560,5,0.162468,-49.144879
561,3,0.1913,-19.305206
562,4,0.115126,9.881228
563,5,0.276666,9.76553
564,8,0.166753,14.648652
565,0,0.205495,-77.754451
566,4,0.119667,0.000107
567,4,0.195964,0.0
568,2,0.110133,0.000426
569,8,0.224695,58.717033
570,4,0.138867,-39.063644
571,7,0.196089,29.298306
572,3,0.196091,-39.0625
573,3,0.205594,0.0
574,0,0.072611,-28.549676
575,8,0.227371,80.218193
576,3,0.132747,-48.067217
577,7,0.170947,39.116744
578,7,0.237709,0.0
579,2,0.199561,-0.000533
580,6,0.23775,39.105271
581,4,0.209075,-19.58883
582,1,0.209078,-29.296017
583,0,0.190012,-9.766102
584,8,0.237669,78.121948
585,6,0.256741,-19.532394
586,2,0.190394,-39.060593
587,8,0.276644,58.592033
588,5,0.248033,-29.297447
589,4,0.171904,-9.766102
590,3,0.267528,-9.765816
591,7,0.248614,39.062119
592,2,0.220058,-48.828602
593,5,0.162973,29.295445
594,3,0.220265,-19.467941
595,6,0.296723,29.393898
596,3,0.192046,-29.295731
597,7,0.278022,39.063263
598,2,0.201729,-48.828125
599,5,0.220804,29.298592
600,5,0.278028,0.0
601,3,0.23035,-19.524005
602,7,0.230426,39.077765
603,7,0.278181,0.0
604,1,0.230269,-58.594322
605,6,0.2584,48.827648
606,2,0.210788,-39.063263
607,8,0.287228,58.592033
608,1,0.201573,-68.179605
609,6,0.21124,48.959608
610,5,0.258926,-9.764862
611,4,0.249404,-9.751056
612,3,0.19217,-9.781195
613,5,0.258928,19.531441
614,1,0.220781,-39.0625
615,8,0.287537,68.35804
616,3,0.220781,-48.826695
617,7,0.268464,39.062119
618,5,0.220781,-19.531441
619,9,0.268464,39.0625
620,-1,0.220687,-97.655296
